Column size in KB,Data type,Time in ns
0.0078125,int8,38
0.0078125,int16,23
0.0078125,int32,25
0.0078125,int64,21
0.015625,int8,45
0.015625,int16,29
0.015625,int32,22
0.015625,int64,23
0.03125,int8,52
0.03125,int16,35
0.03125,int32,29
0.03125,int64,27
0.0625,int8,76
0.0625,int16,58
0.0625,int32,44
0.0625,int64,29
0.125,int8,120
0.125,int16,81
0.125,int32,57
0.125,int64,43
0.5,int8,392
0.5,int16,217
0.5,int32,124
0.5,int64,73
1,int8,752
1,int16,400
1,int32,219
1,int64,122
4,int8,2909
4,int16,1477
4,int32,763
4,int64,396
16,int8,11585
16,int16,5810
16,int32,2974
16,int64,1490
64,int8,46265
64,int16,23159
64,int32,11908
64,int64,5883
1024,int8,765403
1024,int16,391011
1024,int32,224473
1024,int64,132512
16384,int8,1.6523e+07
16384,int16,9.54461e+06
16384,int32,6.81991e+06
16384,int64,5.3598e+06
65536,int8,6.99738e+07
65536,int16,4.25144e+07
65536,int32,3.18769e+07
65536,int64,2.56196e+07
262144,int8,3.58805e+08
262144,int16,2.687e+08
262144,int32,2.21684e+08
262144,int64,1.94996e+08
1.04858e+06,int8,1.60969e+09
1.04858e+06,int16,1.22888e+09
1.04858e+06,int32,1.045e+09
1.04858e+06,int64,8.97714e+08
4.1943e+06,int8,7.03922e+09
4.1943e+06,int16,4.89496e+09
4.1943e+06,int32,4.31513e+09
4.1943e+06,int64,3.86217e+09
