Column size in KB,Data type,Time in ns
0.0078125,int8,42
0.0078125,int16,26
0.0078125,int32,26
0.0078125,int64,22
0.015625,int8,39
0.015625,int16,28
0.015625,int32,24
0.015625,int64,21
0.03125,int8,48
0.03125,int16,34
0.03125,int32,30
0.03125,int64,27
0.0625,int8,71
0.0625,int16,53
0.0625,int32,39
0.0625,int64,30
0.125,int8,118
0.125,int16,76
0.125,int32,52
0.125,int64,43
0.5,int8,388
0.5,int16,212
0.5,int32,118
0.5,int64,75
1,int8,746
1,int16,391
1,int32,212
1,int64,125
4,int8,2915
4,int16,4530
4,int32,755
4,int64,394
16,int8,11572
16,int16,5812
16,int32,2929
16,int64,1478
64,int8,46228
64,int16,23134
64,int32,11661
64,int64,5831
1024,int8,739219
1024,int16,369654
1024,int32,187120
1024,int64,92638
16384,int8,1.18477e+07
16384,int16,5.92526e+06
16384,int32,2.99604e+06
16384,int64,1.48526e+06
65536,int8,4.73554e+07
65536,int16,2.37286e+07
65536,int32,1.20042e+07
65536,int64,5.95443e+06
262144,int8,1.8962e+08
262144,int16,9.57766e+07
262144,int32,4.84095e+07
262144,int64,2.40165e+07
1.04858e+06,int8,7.59129e+08
1.04858e+06,int16,3.8352e+08
1.04858e+06,int32,1.93869e+08
1.04858e+06,int64,9.61688e+07
4.1943e+06,int8,3.06922e+09
4.1943e+06,int16,1.52976e+09
4.1943e+06,int32,7.73071e+08
4.1943e+06,int64,3.83295e+08
