Column size in KB,Data type,Time in ns
0.0078125,int8,40
0.0078125,int16,24
0.0078125,int32,28
0.0078125,int64,23
0.015625,int8,42
0.015625,int16,31
0.015625,int32,26
0.015625,int64,26
0.03125,int8,54
0.03125,int16,35
0.03125,int32,33
0.03125,int64,26
0.0625,int8,69
0.0625,int16,52
0.0625,int32,37
0.0625,int64,32
0.125,int8,120
0.125,int16,76
0.125,int32,47
0.125,int64,45
0.5,int8,390
0.5,int16,210
0.5,int32,121
0.5,int64,78
1,int8,748
1,int16,389
1,int32,212
1,int64,118
4,int8,2920
4,int16,1472
4,int32,760
4,int64,396
16,int8,11579
16,int16,5798
16,int32,2974
16,int64,1483
64,int8,46267
64,int16,23179
64,int32,11896
64,int64,5906
1024,int8,760002
1024,int16,394376
1024,int32,223492
1024,int64,132542
16384,int8,1.62419e+07
16384,int16,9.67516e+06
16384,int32,6.96534e+06
16384,int64,5.49022e+06
65536,int8,6.86887e+07
65536,int16,4.28211e+07
65536,int32,3.21779e+07
65536,int64,2.62765e+07
262144,int8,3.61121e+08
262144,int16,2.69339e+08
262144,int32,2.22446e+08
262144,int64,1.95358e+08
1.04858e+06,int8,1.61551e+09
1.04858e+06,int16,1.23413e+09
1.04858e+06,int32,1.06668e+09
1.04858e+06,int64,9.34894e+08
4.1943e+06,int8,6.62399e+09
4.1943e+06,int16,5.61526e+09
4.1943e+06,int32,4.79778e+09
4.1943e+06,int64,3.86139e+09
