Column size in KB,Data type,Time in ns
0.0078125,int8,33
0.0078125,int16,26
0.0078125,int32,22
0.0078125,int64,21
0.015625,int8,39
0.015625,int16,30
0.015625,int32,26
0.015625,int64,25
0.03125,int8,50
0.03125,int16,33
0.03125,int32,28
0.03125,int64,24
0.0625,int8,70
0.0625,int16,55
0.0625,int32,37
0.0625,int64,32
0.125,int8,113
0.125,int16,76
0.125,int32,54
0.125,int64,41
0.5,int8,385
0.5,int16,211
0.5,int32,119
0.5,int64,78
1,int8,748
1,int16,387
1,int32,210
1,int64,122
4,int8,2925
4,int16,1470
4,int32,752
4,int64,389
16,int8,11575
16,int16,5791
16,int32,2934
16,int64,1471
64,int8,46237
64,int16,23136
64,int32,11663
64,int64,5811
1024,int8,746676
1024,int16,369737
1024,int32,187980
1024,int64,92780
16384,int8,1.18495e+07
16384,int16,5.92767e+06
16384,int32,3.02824e+06
16384,int64,1.78264e+06
65536,int8,4.73568e+07
65536,int16,2.37242e+07
65536,int32,1.19825e+07
65536,int64,6.14123e+06
262144,int8,1.896e+08
262144,int16,9.57829e+07
262144,int32,4.82158e+07
262144,int64,2.4307e+07
1.04858e+06,int8,7.59125e+08
1.04858e+06,int16,3.83536e+08
1.04858e+06,int32,1.93082e+08
1.04858e+06,int64,9.67568e+07
4.1943e+06,int8,3.03506e+09
4.1943e+06,int16,1.53355e+09
4.1943e+06,int32,7.71849e+08
4.1943e+06,int64,3.8583e+08
