Column size in KB,Data type,Time in ns
0.0078125,int8,42
0.0078125,int16,28
0.0078125,int32,21
0.0078125,int64,21
0.015625,int8,39
0.015625,int16,29
0.015625,int32,27
0.015625,int64,22
0.03125,int8,56
0.03125,int16,38
0.03125,int32,29
0.03125,int64,26
0.0625,int8,71
0.0625,int16,55
0.0625,int32,43
0.0625,int64,30
0.125,int8,115
0.125,int16,78
0.125,int32,51
0.125,int64,44
0.5,int8,388
0.5,int16,211
0.5,int32,117
0.5,int64,75
1,int8,746
1,int16,392
1,int32,209
1,int64,114
4,int8,2907
4,int16,1471
4,int32,754
4,int64,385
16,int8,11577
16,int16,5800
16,int32,2942
16,int64,1480
64,int8,46221
64,int16,23130
64,int32,11635
64,int64,5817
1024,int8,747140
1024,int16,370098
1024,int32,187750
1024,int64,96435
16384,int8,1.18828e+07
16384,int16,5.95175e+06
16384,int32,3.09686e+06
16384,int64,1.95147e+06
65536,int8,4.7931e+07
65536,int16,2.39936e+07
65536,int32,1.25939e+07
65536,int64,8.68797e+06
262144,int8,1.91673e+08
262144,int16,9.59544e+07
262144,int32,4.91909e+07
262144,int64,3.58126e+07
1.04858e+06,int8,7.6907e+08
1.04858e+06,int16,3.84691e+08
1.04858e+06,int32,1.96699e+08
1.04858e+06,int64,1.44663e+08
4.1943e+06,int8,3.09629e+09
4.1943e+06,int16,1.53786e+09
4.1943e+06,int32,7.83665e+08
4.1943e+06,int64,5.78529e+08
