Column size in KB,Data type,Time in ns
0.0078125,int8,42
0.0078125,int16,23
0.0078125,int32,22
0.0078125,int64,21
0.015625,int8,35
0.015625,int16,28
0.015625,int32,27
0.015625,int64,26
0.03125,int8,54
0.03125,int16,39
0.03125,int32,31
0.03125,int64,27
0.0625,int8,71
0.0625,int16,55
0.0625,int32,34
0.0625,int64,32
0.125,int8,115
0.125,int16,74
0.125,int32,56
0.125,int64,47
0.5,int8,391
0.5,int16,211
0.5,int32,124
0.5,int64,76
1,int8,750
1,int16,396
1,int32,216
1,int64,123
4,int8,2915
4,int16,1490
4,int32,791
4,int64,404
16,int8,11621
16,int16,5887
16,int32,3199
16,int64,1570
64,int8,47092
64,int16,23954
64,int32,13499
64,int64,6627
1024,int8,1.0026e+06
1024,int16,608609
1024,int32,323462
1024,int64,162851
16384,int8,3.49116e+07
16384,int16,2.58229e+07
16384,int32,1.35732e+07
16384,int64,7.06135e+06
65536,int8,2.14894e+08
65536,int16,1.96565e+08
65536,int32,1.10701e+08
65536,int64,6.0697e+07
262144,int8,1.02383e+09
262144,int16,8.96777e+08
262144,int32,5.02491e+08
262144,int64,2.9095e+08
1.04858e+06,int8,4.70118e+09
1.04858e+06,int16,4.49428e+09
1.04858e+06,int32,2.41657e+09
1.04858e+06,int64,1.40353e+09
4.1943e+06,int8,2.26689e+10
4.1943e+06,int16,1.55375e+10
4.1943e+06,int32,1.11694e+10
4.1943e+06,int64,5.33432e+09
