Column size in KB,Data type,Time in ns
0.0078125,int8,38
0.0078125,int16,23
0.0078125,int32,23
0.0078125,int64,20
0.015625,int8,41
0.015625,int16,31
0.015625,int32,25
0.015625,int64,21
0.03125,int8,54
0.03125,int16,34
0.03125,int32,31
0.03125,int64,31
0.0625,int8,73
0.0625,int16,56
0.0625,int32,37
0.0625,int64,32
0.125,int8,117
0.125,int16,74
0.125,int32,48
0.125,int64,39
0.5,int8,387
0.5,int16,213
0.5,int32,119
0.5,int64,83
1,int8,748
1,int16,392
1,int32,213
1,int64,120
4,int8,2907
4,int16,1472
4,int32,752
4,int64,395
16,int8,11579
16,int16,5800
16,int32,2945
16,int64,1513
64,int8,46219
64,int16,23122
64,int32,11650
64,int64,6305
1024,int8,739661
1024,int16,371055
1024,int32,195429
1024,int64,125785
16384,int8,1.19111e+07
16384,int16,6.11889e+06
16384,int32,3.46314e+06
16384,int64,2.68638e+06
65536,int8,4.79573e+07
65536,int16,2.446e+07
65536,int32,1.43181e+07
65536,int64,1.21067e+07
262144,int8,1.91648e+08
262144,int16,9.6575e+07
262144,int32,5.3015e+07
262144,int64,4.52631e+07
1.04858e+06,int8,7.67718e+08
1.04858e+06,int16,3.86697e+08
1.04858e+06,int32,2.09408e+08
1.04858e+06,int64,1.78231e+08
4.1943e+06,int8,3.06925e+09
4.1943e+06,int16,1.54412e+09
4.1943e+06,int32,8.34651e+08
4.1943e+06,int64,7.0961e+08
