Column size in KB,Data type,Time in ns
0.0078125,int8,42
0.0078125,int16,28
0.0078125,int32,22
0.0078125,int64,25
0.015625,int8,42
0.015625,int16,29
0.015625,int32,25
0.015625,int64,27
0.03125,int8,54
0.03125,int16,33
0.03125,int32,31
0.03125,int64,26
0.0625,int8,73
0.0625,int16,53
0.0625,int32,38
0.0625,int64,30
0.125,int8,117
0.125,int16,73
0.125,int32,50
0.125,int64,46
0.5,int8,387
0.5,int16,209
0.5,int32,123
0.5,int64,82
1,int8,754
1,int16,394
1,int32,220
1,int64,122
4,int8,2917
4,int16,1493
4,int32,789
4,int64,403
16,int8,11613
16,int16,5888
16,int32,3202
16,int64,1573
64,int8,47110
64,int16,23995
64,int32,13468
64,int64,6631
1024,int8,856605
1024,int16,529780
1024,int32,288928
1024,int64,142741
16384,int8,3.66072e+07
16384,int16,2.60199e+07
16384,int32,1.39265e+07
16384,int64,7.28491e+06
65536,int8,2.16283e+08
65536,int16,1.96957e+08
65536,int32,1.11703e+08
65536,int64,6.13672e+07
262144,int8,1.02657e+09
262144,int16,8.98032e+08
262144,int32,5.02938e+08
262144,int64,2.9532e+08
1.04858e+06,int8,4.22793e+09
1.04858e+06,int16,3.68876e+09
1.04858e+06,int32,2.2711e+09
1.04858e+06,int64,1.40715e+09
4.1943e+06,int8,1.66822e+10
4.1943e+06,int16,1.55768e+10
4.1943e+06,int32,8.69698e+09
4.1943e+06,int64,4.62698e+09
